GO.ID	Term	Annotated	Significant	Expected	elim
88	GO:0008202	steroid metabolic process	32	12	6.73	0.02406
89	GO:0046112	nucleobase biosynthetic process	12	6	2.52	0.02452
90	GO:0006613	cotranslational protein targeting to membrane	12	6	2.52	0.02452
91	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	12	6	2.52	0.02452
92	GO:0051084	'de novo' post-translational protein folding	12	6	2.52	0.02452
93	GO:0051085	chaperone cofactor-dependent protein refolding	12	6	2.52	0.02452
94	GO:1901679	nucleotide transmembrane transport	12	6	2.52	0.02452
95	GO:0009408	response to heat	12	6	2.52	0.02452
96	GO:0003333	amino acid transmembrane transport	12	6	2.52	0.02452
97	GO:0007006	mitochondrial membrane organization	12	6	2.52	0.02452
98	GO:0007007	inner mitochondrial membrane organization	12	6	2.52	0.02452
99	GO:0009266	response to temperature stimulus	12	6	2.52	0.02452
100	GO:0009150	purine ribonucleotide metabolic process	60	32	12.62	0.02523
101	GO:0009152	purine ribonucleotide biosynthetic process	33	19	6.94	0.02607
102	GO:0044272	sulfur compound biosynthetic process	35	17	7.36	0.02643
103	GO:0072599	establishment of protein localization to endoplasmic reticulum	22	9	4.63	0.02722
104	GO:0045047	protein targeting to ER	22	9	4.63	0.02722
105	GO:0051668	localization within membrane	86	26	18.09	0.02754
106	GO:0000154	rRNA modification	29	11	6.1	0.02769
107	GO:0006694	steroid biosynthetic process	29	11	6.1	0.02769
108	GO:0000096	sulfur amino acid metabolic process	17	11	3.58	0.03087
109	GO:0070972	protein localization to endoplasmic reticulum	26	10	5.47	0.03186
110	GO:0046390	ribose phosphate biosynthetic process	46	28	9.68	0.03388
111	GO:0010628	positive regulation of gene expression	23	9	4.84	0.03660
112	GO:0009259	ribonucleotide metabolic process	70	40	14.72	0.03662
113	GO:0009308	amine metabolic process	13	6	2.73	0.03760
114	GO:0009260	ribonucleotide biosynthetic process	43	27	9.04	0.03912
115	GO:0009086	methionine biosynthetic process	10	5	2.1	0.03996
116	GO:0031118	rRNA pseudouridine synthesis	10	5	2.1	0.03996
117	GO:0071027	nuclear RNA surveillance	10	5	2.1	0.03996
118	GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	10	5	2.1	0.03996
119	GO:0030150	protein import into mitochondrial matrix	10	5	2.1	0.03996
120	GO:0006576	biogenic amine metabolic process	10	5	2.1	0.03996
121	GO:0001510	RNA methylation	50	16	10.52	0.04595
122	GO:0170036	import into the mitochondrion	17	7	3.58	0.04795
123	GO:1901607	alpha-amino acid biosynthetic process	51	20	10.73	0.04892
124	GO:0019693	ribose phosphate metabolic process	75	41	15.78	0.04963
