baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDB_G0267212	15.9038021208378	-0.0863198859161663	0.462967559117784	-0.186449102569205	0.852092589168047	0.91474101258972
DDB_G0267354	4.74640657512418	-2.19823039549057	1.13116719267783	-1.94332934133872	0.0519763785297024	0.139577968423284
DDB_G0267370	51.3945587453015	1.04869457580647	0.399065224056684	2.62787763149593	0.00859194170553989	0.0370071214637307
DDB_G0267374	8174.59706133721	-0.0017738234511252	0.115475152277328	-0.0153610834551241	0.987744110665015	0.993611893207787
DDB_G0267376	1013.2772415651	0.12059371044404	0.121851566689587	0.989677143431798	0.322331950301215	0.495986897777771
DDB_G0267380	60200.5070876968	0.1723711200445	0.184757474657112	0.932958844368277	0.350841218080185	0.525464460715551
DDB_G0267382	53983.1663906435	0.536155665674375	0.171466412110864	3.12688449635091	0.00176669321141069	0.0107601739955605
DDB_G0267384	1212.59933708871	-0.263618545485123	0.134043640537099	-1.96666208429457	0.0492221808093062	0.134112805209479
DDB_G0267386	13625.5622245059	0.455496856784087	0.109546710152815	4.15801493398278	3.21025041801272e-05	0.000411586580830813
DDB_G0267388	730.229023848404	-0.282624251291242	0.115418600991008	-2.44868893631158	0.0143377211557252	0.0541361243790464
DDB_G0267390	6805.64055078745	0.152749583882195	0.120114854886291	1.27169602816237	0.203481142361657	0.362808638572326
DDB_G0267392	334.28890526436	-0.315858814340611	0.179079318401932	-1.7637928106901	0.0777668683578204	0.185727348083367
DDB_G0267394	2128.41955495136	0.665632782873599	0.118406237675396	5.62160234073475	1.89194365003558e-08	5.84433218143805e-07
DDB_G0267396	614.946375978882	-0.264754465361037	0.0975280611331586	-2.71464912031377	0.0066346023316309	0.0301669935824156
DDB_G0267398	106.927016129455	0.513597794869931	0.528118634350261	0.9725045879167	0.330799583562128	0.504856242629556
DDB_G0267400	88950.3746094762	0.181404109493319	0.0802794447647696	2.25965824782245	0.0238424694906612	0.0786040751312101
DDB_G0267402	14752.3491297446	0.138313002329257	0.117288630868558	1.17925327719326	0.23829733701894	0.405564767181331
DDB_G0267404	1605.1758602105	0.132405889667582	0.0722508790981757	1.83258517156126	0.0668642849959498	0.167076202524005
DDB_G0267406	1721.28242451145	0.220162751610089	0.126343906979309	1.74256722681644	0.081409238922201	0.19206909004732
DDB_G0267408	3973.4477718764	-0.0359272305576684	0.160914980342081	-0.223268402241311	0.823326617930707	0.896418506250141
DDB_G0267410	625.855313249464	-0.173995439663907	0.188444650760979	-0.923323845815082	0.355838464700838	0.530235428471528
DDB_G0267412	17.4282075671296	-3.64184365847052	1.76313995871902	-2.06554428107706	0.0388715302497456	0.112899538052437
DDB_G0267414	925.292422040504	-0.0211794533431243	0.0798244514313107	-0.265325385434679	0.790758810334739	0.875563393032148
DDB_G0267416	2079.33231248523	0.430922480730912	0.168078257961316	2.56382048432516	0.0103527074365685	0.0425338790567246
DDB_G0267418	101696.916556617	0.46572434013414	0.14382699908114	3.23808702892704	0.00120334095586132	0.00797253709697664
DDB_G0267420	11837.5657654135	0.218195878298875	0.165933397747501	1.31496058816864	0.18852314837684	0.345026273081821
DDB_G0267422	587.833828280325	-0.083847017694386	0.0774510170132066	-1.08258123557098	0.278994339871429	0.451441978986589
DDB_G0267424	765.58831619043	0.0120669719583044	0.106519235054905	0.11328444061849	0.909805052415193	0.950111650738158
DDB_G0267426	6047.55591535668	-0.0126278095729979	0.16726383243485	-0.0754963544071398	0.939819798022369	0.967317649255635
DDB_G0267428	571.109389692154	0.0763959245033657	0.10417566982468	0.733337492640404	0.463352613070037	0.627258364858575
DDB_G0267430	251.388781143746	-0.0900958679848007	0.113600692850069	-0.793092592346332	0.427723878379423	0.59685967144922
DDB_G0267432	526.967567564863	0.984321360784649	0.173883565101242	5.66080733513565	1.50662501987378e-08	4.75814323369083e-07
DDB_G0267436	8773.0048735056	-0.165618817225356	0.102460692855458	-1.61641320793131	0.106005004603588	0.231468847030366
