baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PBONN_00001_gene	1461.98222048516	1.11747520835838	0.177598072227558	6.29215843585592	3.130816845241e-10	2.64500043822084e-09
PBONN_00002_gene	4051.23259726667	0.0860262674547588	0.17548362046941	0.490223915056247	0.623975459694425	0.724478990189152
PBONN_00003_gene	7070.17585099817	0.617509983951975	0.167661884290903	3.68306718347838	0.000230444393956933	0.000877949036785684
PBONN_00004_gene	24.3147657733	-0.457568558834088	0.61622860653086	-0.742530538155363	0.457765956417252	0.581797514440921
PBONN_00005_gene	53.4320040184329	0.226690698800758	0.405738453666277	0.558711398321672	0.57635869901277	0.684197710158655
PBONN_00007_gene	12.0139911609301	0.366271452626942	0.803500766749636	0.455844558940004	0.648501759339361	NA
PBONN_00008_gene	42.047812207073	1.93459037240523	0.465260005680537	4.15808440180776	3.20927456761795e-05	0.000146861199681942
PBONN_00009_gene	21.5135096910319	-0.364057918440735	0.718289180207137	-0.506840320684977	0.612266862625682	0.713266260959326
PBONN_00010_gene	35.3094179823367	-0.480509468799827	0.504915177487968	-0.951663745166936	0.341267541685308	0.468103841631225
PBONN_00011_gene	7.12393349961079	-1.33251997323089	1.11810677037275	-1.19176451528565	0.233353593172339	NA
PBONN_00012_gene	473.358417008545	2.27710288652499	0.210030338447134	10.841780779676	2.18182132615338e-27	3.29341276009409e-26
PBONN_00013_gene	107.369011932074	0.848932290910525	0.311406380469212	2.72612362544208	0.0064082991393071	0.0169100519956032
PBONN_00014_gene	8.50592247490298	0.633052087808522	0.928675879512291	0.681671723982946	0.495446550902052	NA
PBONN_00015_gene	1844.94171856669	-0.426177436796682	0.191576713423359	-2.2245784948554	0.0261095476364438	0.0567250403970488
PBONN_00016_gene	5088.07318001078	0.116616647910898	0.177721355828548	0.656176897634075	0.511710311550132	0.628537347584716
PBONN_00017_gene	95.3426930730921	0.292623663169518	0.326614157550853	0.895930737858347	0.37028975628352	0.498677747891336
PBONN_00018_gene	57.3869192003593	0.105098932248643	0.397862865799757	0.264158687032478	0.791657643628485	0.856754874263243
PBONN_00019_gene	716.743908732782	-0.148032686628071	0.228117477750706	-0.648931805172094	0.516382455885087	0.633426235114856
PBONN_00020_gene	257.243463954105	-0.57964391194097	0.253192107851952	-2.28934431194792	0.0220593549880418	0.0492010123507795
PBONN_00021_gene	188.560378776825	-0.301445262722913	0.270386242035424	-1.11486908673193	0.264906525560424	0.382900590230507
PBONN_00022_gene	437.74096472753	-0.216370027175951	0.22881541831137	-0.945609473228403	0.344347810635759	0.471314042490284
PBONN_00023_gene	390.844899929299	-0.324744864500466	0.25089060909396	-1.29436835309706	0.195538216528817	0.302324863904992
PBONN_00024_gene	156.790755851924	-0.150211345075833	0.303176246754593	-0.495458818702978	0.620276284349842	0.72075153799863
PBONN_00025_gene	889.653395890999	0.606272638318683	0.189483602775635	3.19960476493876	0.00137616161852248	0.00435260650942809
PBONN_00026_gene	760.619107424312	0.232961934203266	0.202076831516098	1.15283841524756	0.248976713493908	0.365419579834199
PBONN_00027_gene	127.25581668612	1.0558262890493	0.314353480421298	3.35872307707324	0.000783034924079718	0.0026616501955111
PBONN_00028_gene	703.769939363943	-0.145820821798279	0.217470534019868	-0.670531400750396	0.502519096195062	0.620042581585462
PBONN_00029_gene	702.690239915309	0.0417660976975101	0.1947081088947	0.214506205902793	0.830152327984057	0.888751315841756
PBONN_00030_gene	461.197278836408	-0.0149478384665951	0.219572559639063	-0.0680769878128971	0.945724348915225	0.96868329257517
PBONN_00031_gene	555.490831744875	0.689429749414284	0.218834791615191	3.15045767780202	0.00163014872848927	0.00505765084703019
