baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PHAYL_00001_gene	3859.19066530655	0.75741650505286	0.142104070013319	5.33001275038688	9.82058716602996e-08	6.44348882983962e-07
PHAYL_00002_gene	489.223683749477	0.748911685451712	0.184257586964384	4.06448221639022	4.81392089667794e-05	0.000210964784956301
PHAYL_00003_gene	9799.73703996599	-0.00796983437025808	0.133118410880364	-0.0598702637565339	0.95225896348071	0.970930707862684
PHAYL_00004_gene	14701.5315928926	0.228870284527618	0.129888827707887	1.76204750297951	0.07806127187471	0.150756913088409
PHAYL_00005_gene	623.785474626648	-0.127465764264549	0.167427622108142	-0.76131860836092	0.446466788605277	0.588625212949678
PHAYL_00006_gene	314.533267340599	0.0326869239040578	0.198718516627465	0.164488566333934	0.869346546901022	0.919235483938865
PHAYL_00007_gene	228.957597118698	-0.394466308404173	0.233546180528729	-1.68902915693648	0.0912138425417189	0.170579188091975
PHAYL_00008_gene	35.1596204718885	-0.46756863002123	0.462011516518394	-1.01202808437485	0.311524625508828	0.450727489731211
PHAYL_00009_gene	8.45608585818245	0.700883732680978	0.887433303595358	0.789787502724328	0.429651878758706	NA
PHAYL_00010_gene	16.2511941477151	1.25687446460791	0.685279163464976	1.83410576538294	0.0666382957799876	0.131988528992312
PHAYL_00011_gene	14.5632102794447	1.18266151070559	0.7019824061451	1.68474523058222	0.0920377358958344	0.171384004201543
PHAYL_00012_gene	17.1781375430831	0.126995169736255	0.664891824740131	0.191001250144549	0.848524613715568	0.904331524681872
PHAYL_00013_gene	21.2763767821884	-0.596722207951844	0.597179316100867	-0.999234554619192	0.3176810803819	0.457544805312335
PHAYL_00014_gene	857.376605197766	0.462403598284935	0.173198750925662	2.66978598756409	0.00758996064968178	0.0202061417241618
PHAYL_00015_gene	13.8204892853032	2.22223763794121	0.763651563794089	2.91001517354375	0.00361411209562594	0.0106437586992061
PHAYL_00016_gene	190.089875732041	2.89473954642201	0.251798453227034	11.4962562689453	1.3776202946887e-30	2.44879036055889e-29
PHAYL_00018_gene	1048.33869207857	2.32003341197613	0.173245691732729	13.3915792581746	6.77252070510692e-41	1.37182919398794e-39
