baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDB_G0267212	15.9038021208378	-0.293462584844593	0.575441447881779	-0.509978184444029	0.610066745504227	0.790258797030112
DDB_G0267354	4.74640657512418	-1.21179703996099	1.19803728987722	-1.011485243573	0.311784240302198	NA
DDB_G0267370	51.3945587453015	0.766995385280655	0.429521645548129	1.78569670057457	0.0741483798913262	0.260146777279129
DDB_G0267374	8174.59706133721	0.0788415782558729	0.136687446325601	0.576801896408729	0.564073288337701	0.760069572708422
DDB_G0267376	1013.2772415651	0.0456538876611522	0.1452011351434	0.314418255863253	0.753203392525226	0.878311276903544
DDB_G0267380	60200.5070876968	0.212174805259708	0.218605437783102	0.970583382606546	0.331755784249302	0.577129629742598
DDB_G0267382	53983.1663906435	0.39212061303774	0.202896422094547	1.93261472523659	0.0532836770745389	0.218872573201719
DDB_G0267384	1212.59933708871	-0.301293092629785	0.158875861425485	-1.89640572158972	0.0579064158886735	0.229167220868926
DDB_G0267386	13625.5622245059	0.358046335328238	0.129732973950304	2.75987148390965	0.00578241037922673	0.0612186685319475
DDB_G0267388	730.229023848404	-0.138007012253946	0.137476732350304	-1.00385723383569	0.315447432623895	0.56115129127446
DDB_G0267390	6805.64055078745	0.129226769951164	0.142209469624532	0.908707206997922	0.363504698903939	0.604892420286458
DDB_G0267392	334.28890526436	-0.140803546274031	0.211857618146917	-0.664614034206636	0.506297390559142	0.719619507664156
DDB_G0267394	2128.41955495136	0.42398265238023	0.140644487648892	3.01456999465681	0.00257343823370622	0.0379677845852259
DDB_G0267396	614.946375978882	-0.0462240310310369	0.11625404886749	-0.397612224961942	0.690916047743386	0.841927186642658
DDB_G0267398	106.927016129455	-0.418772572026987	0.635359104681167	-0.65911162512912	0.509824091111882	0.721758895680358
DDB_G0267400	88950.3746094762	0.268487480572372	0.0949994563769474	2.82620017852569	0.0047103817329432	0.054532901878406
DDB_G0267402	14752.3491297446	0.118683774724015	0.138839632688413	0.854826337594599	0.392647295261493	0.632059469342486
DDB_G0267404	1605.1758602105	0.343697883386399	0.0859750438138611	3.99764708617674	6.39752380223239e-05	0.00355656016367206
DDB_G0267406	1721.28242451145	-0.0683210580410108	0.150131800747701	-0.455073859773555	0.649056103206654	0.817133254897404
DDB_G0267408	3973.4477718764	-0.0861172111248774	0.190614215429283	-0.451787978829032	0.651421730621662	0.818323879223353
DDB_G0267410	625.855313249464	-0.347244345719846	0.223498150582009	-1.55367883275809	0.120261044600577	0.335274632981611
DDB_G0267412	17.4282075671296	0.335236357763577	1.84539190314918	0.18166133556319	0.855848510765605	0.931907390173468
